video,frame,label,split
AD128.avi,0,0,train
AD128.avi,1,0,train
AD128.avi,2,0,train
AD128.avi,3,0,train
AD128.avi,4,0,train
AD128.avi,5,0,train
AD128.avi,6,0,train
AD128.avi,7,0,train
AD128.avi,8,0,train
AD128.avi,9,0,train
AD128.avi,10,0,train
AD128.avi,11,0,train
AD128.avi,12,0,train
AD128.avi,13,0,train
AD128.avi,14,0,train
AD128.avi,15,0,train
AD128.avi,16,0,train
AD128.avi,17,0,train
AD128.avi,18,0,train
AD128.avi,19,0,train
AD128.avi,20,0,train
AD128.avi,21,0,train
AD128.avi,22,0,train
AD128.avi,23,0,train
AD128.avi,24,0,train
AD128.avi,25,0,train
AD128.avi,26,0,train
AD128.avi,27,0,train
AD128.avi,28,0,train
AD128.avi,29,0,train
AD128.avi,30,0,train
AD128.avi,31,0,train
AD128.avi,32,0,train
AD128.avi,33,0,train
AD128.avi,34,0,train
AD128.avi,35,0,train
AD128.avi,36,0,train
AD128.avi,37,0,train
AD128.avi,38,0,train
AD128.avi,39,0,train
AD128.avi,40,0,train
AD128.avi,41,0,train
AD128.avi,42,0,train
AD128.avi,43,0,train
AD128.avi,44,0,train
AD128.avi,45,0,train
AD128.avi,46,0,train
AD128.avi,47,0,train
AD128.avi,48,0,train
AD128.avi,49,0,train
AD128.avi,50,0,train
AD128.avi,51,0,train
AD128.avi,52,0,train
AD128.avi,53,0,train
AD128.avi,54,0,train
AD128.avi,55,0,train
AD128.avi,56,0,train
AD128.avi,57,0,train
AD128.avi,58,0,train
AD128.avi,59,0,train
AD128.avi,60,0,train
AD128.avi,61,0,train
AD128.avi,62,0,train
AD128.avi,63,0,train
AD128.avi,64,0,train
AD128.avi,65,0,train
AD128.avi,66,0,train
AD128.avi,67,0,train
AD128.avi,68,0,train
AD128.avi,69,0,train
AD128.avi,70,0,train
AD128.avi,71,0,train
AD128.avi,72,0,train
AD128.avi,73,0,train
AD128.avi,74,0,train
AD128.avi,75,0,train
AD128.avi,76,0,train
AD128.avi,77,0,train
AD128.avi,78,0,train
AD128.avi,79,0,train
AD128.avi,80,1,train
AD128.avi,81,0,train
AD128.avi,82,0,train
AD128.avi,83,0,train
AD128.avi,84,0,train
AD128.avi,85,0,train
AD128.avi,86,0,train
AD128.avi,87,0,train
AD128.avi,88,0,train
AD128.avi,89,0,train
AD128.avi,90,0,train
AD128.avi,91,0,train
AD128.avi,92,0,train
AD128.avi,93,0,train
AD128.avi,94,0,train
AD128.avi,95,0,train
AD128.avi,96,0,train
AD128.avi,97,0,train
AD128.avi,98,0,train
AD128.avi,99,0,train
AD128.avi,100,0,train
AD128.avi,101,0,train
AD128.avi,102,0,train
AD128.avi,103,0,train
AD128.avi,104,0,train
AD128.avi,105,0,train
AD128.avi,106,0,train
AD128.avi,107,0,train
AD128.avi,108,0,train
AD128.avi,109,0,train
AD128.avi,110,0,train
AD128.avi,111,0,train
AD128.avi,112,0,train
AD128.avi,113,0,train
AD128.avi,114,0,train
AD128.avi,115,0,train
AD128.avi,116,0,train
AD128.avi,117,0,train
AD128.avi,118,0,train
AD128.avi,119,0,train
AD128.avi,120,0,train
AD128.avi,121,0,train
AD128.avi,122,0,train
AD128.avi,123,0,train
AD128.avi,124,0,train
AD128.avi,125,0,train
AD128.avi,126,0,train
AD128.avi,127,0,train
AD128.avi,128,0,train
AD128.avi,129,0,train
AD128.avi,130,0,train
AD128.avi,131,0,train
AD128.avi,132,0,train
AD128.avi,133,0,train
AD128.avi,134,0,train
AD128.avi,135,0,train
AD128.avi,136,0,train
AD128.avi,137,0,train
AD128.avi,138,0,train
AD128.avi,139,0,train
AD128.avi,140,0,train
AD128.avi,141,0,train
AD128.avi,142,0,train
AD128.avi,143,0,train
AD128.avi,144,0,train
AD128.avi,145,0,train
AD128.avi,146,0,train
AD128.avi,147,0,train
AD128.avi,148,0,train
AD128.avi,149,0,train
AD128.avi,150,0,train
AD128.avi,151,0,train
AD128.avi,152,0,train
AD128.avi,153,0,train
AD128.avi,154,0,train
AD128.avi,155,0,train
AD128.avi,156,0,train
AD128.avi,157,0,train
AD128.avi,158,0,train
AD128.avi,159,0,train
AD128.avi,160,0,train
AD128.avi,161,0,train
AD128.avi,162,0,train
AD128.avi,163,0,train
AD128.avi,164,0,train
AD128.avi,165,0,train
AD128.avi,166,0,train
AD128.avi,167,0,train
AD128.avi,168,0,train
AD128.avi,169,0,train
AD128.avi,170,0,train
AD128.avi,171,0,train
AD128.avi,172,0,train
AD128.avi,173,0,train
AD128.avi,174,0,train
AD128.avi,175,0,train
AD128.avi,176,0,train
AD128.avi,177,0,train
AD128.avi,178,0,train
AD128.avi,179,0,train
AD128.avi,180,0,train
AD128.avi,181,0,train
AD128.avi,182,0,train
AD128.avi,183,0,train
AD128.avi,184,0,train
AD128.avi,185,0,train
AD128.avi,186,0,train
AD128.avi,187,0,train
AD128.avi,188,0,train
AD128.avi,189,0,train
AD128.avi,190,0,train
AD128.avi,191,0,train
AD128.avi,192,0,train
AD128.avi,193,0,train
AD128.avi,194,0,train
AD128.avi,195,0,train
AD128.avi,196,0,train
AD128.avi,197,0,train
AD128.avi,198,0,train
AD128.avi,199,0,train
AD128.avi,200,0,train
AD128.avi,201,0,train
AD128.avi,202,0,train
AD128.avi,203,0,train
AD128.avi,204,0,train
AD128.avi,205,0,train
AD128.avi,206,0,train
AD128.avi,207,0,train
AD128.avi,208,0,train
AD128.avi,209,0,train
AD128.avi,210,0,train
AD128.avi,211,0,train
AD128.avi,212,0,train
AD128.avi,213,0,train
AD128.avi,214,0,train
AD128.avi,215,0,train
AD128.avi,216,0,train
AD128.avi,217,0,train
AD128.avi,218,0,train
AD128.avi,219,0,train
AD128.avi,220,0,train
AD128.avi,221,0,train
AD128.avi,222,0,train
AD128.avi,223,0,train
AD128.avi,224,0,train
AD128.avi,225,0,train
