frame,event_type,crop_path,matched,notes,source
344,before_onset,crops\AD458.avi\ues\event_000_before_onset_frame_344_ues.jpg,True,metadata_exact,input
357,touch_ues,crops\AD458.avi\ues\event_041_touch_ues_frame_357_ues.jpg,True,metadata_exact,input
378,leave_ues,crops\AD458.avi\ues\event_021_leave_ues_frame_378_ues.jpg,True,metadata_exact,input
499,before_onset,crops\AD458.avi\ues\event_001_before_onset_frame_499_ues.jpg,True,metadata_exact,input
513,touch_ues,crops\AD458.avi\ues\event_042_touch_ues_frame_513_ues.jpg,True,metadata_exact,input
530,leave_ues,crops\AD458.avi\ues\event_022_leave_ues_frame_530_ues.jpg,True,metadata_exact,input
684,before_onset,crops\AD458.avi\ues\event_002_before_onset_frame_684_ues.jpg,True,metadata_exact,input
695,touch_ues,crops\AD458.avi\ues\event_043_touch_ues_frame_695_ues.jpg,True,metadata_exact,input
714,leave_ues,crops\AD458.avi\ues\event_023_leave_ues_frame_714_ues.jpg,True,metadata_exact,input
905,before_onset,crops\AD458.avi\ues\event_003_before_onset_frame_905_ues.jpg,True,metadata_exact,input
917,touch_ues,crops\AD458.avi\ues\event_044_touch_ues_frame_917_ues.jpg,True,metadata_exact,input
944,leave_ues,crops\AD458.avi\ues\event_024_leave_ues_frame_944_ues.jpg,True,metadata_exact,input
1050,before_onset,crops\AD458.avi\ues\event_004_before_onset_frame_1050_ues.jpg,True,metadata_exact,input
1065,touch_ues,crops\AD458.avi\ues\event_045_touch_ues_frame_1065_ues.jpg,True,metadata_exact,input
1087,leave_ues,crops\AD458.avi\ues\event_025_leave_ues_frame_1087_ues.jpg,True,metadata_exact,input
1200,before_onset,crops\AD458.avi\ues\event_005_before_onset_frame_1200_ues.jpg,True,metadata_exact,input
1655,before_onset,crops\AD458.avi\ues\event_006_before_onset_frame_1655_ues.jpg,True,metadata_exact,input
1668,touch_ues,crops\AD458.avi\ues\event_046_touch_ues_frame_1668_ues.jpg,True,metadata_exact,input
1685,leave_ues,crops\AD458.avi\ues\event_026_leave_ues_frame_1685_ues.jpg,True,metadata_exact,input
2058,before_onset,crops\AD458.avi\ues\event_007_before_onset_frame_2058_ues.jpg,True,metadata_exact,input
2077,touch_ues,crops\AD458.avi\ues\event_047_touch_ues_frame_2077_ues.jpg,True,metadata_exact,input
2111,leave_ues,crops\AD458.avi\ues\event_027_leave_ues_frame_2111_ues.jpg,True,metadata_exact,input
2351,before_onset,crops\AD458.avi\ues\event_008_before_onset_frame_2351_ues.jpg,True,metadata_exact,input
2364,touch_ues,crops\AD458.avi\ues\event_048_touch_ues_frame_2364_ues.jpg,True,metadata_exact,input
2372,leave_ues,crops\AD458.avi\ues\event_028_leave_ues_frame_2372_ues.jpg,True,metadata_exact,input
2714,before_onset,crops\AD458.avi\ues\event_009_before_onset_frame_2714_ues.jpg,True,metadata_exact,input
2726,touch_ues,crops\AD458.avi\ues\event_049_touch_ues_frame_2726_ues.jpg,True,metadata_exact,input
2743,leave_ues,crops\AD458.avi\ues\event_029_leave_ues_frame_2743_ues.jpg,True,metadata_exact,input
3048,before_onset,crops\AD458.avi\ues\event_010_before_onset_frame_3048_ues.jpg,True,metadata_exact,input
3062,touch_ues,crops\AD458.avi\ues\event_050_touch_ues_frame_3062_ues.jpg,True,metadata_exact,input
3078,leave_ues,crops\AD458.avi\ues\event_030_leave_ues_frame_3078_ues.jpg,True,metadata_exact,input
3402,before_onset,crops\AD458.avi\ues\event_011_before_onset_frame_3402_ues.jpg,True,metadata_exact,input
3417,touch_ues,crops\AD458.avi\ues\event_051_touch_ues_frame_3417_ues.jpg,True,metadata_exact,input
3431,leave_ues,crops\AD458.avi\ues\event_031_leave_ues_frame_3431_ues.jpg,True,metadata_exact,input
3593,before_onset,crops\AD458.avi\ues\event_012_before_onset_frame_3593_ues.jpg,True,metadata_exact,input
3610,touch_ues,crops\AD458.avi\ues\event_052_touch_ues_frame_3610_ues.jpg,True,metadata_exact,input
3629,leave_ues,crops\AD458.avi\ues\event_032_leave_ues_frame_3629_ues.jpg,True,metadata_exact,input
4031,before_onset,crops\AD458.avi\ues\event_013_before_onset_frame_4031_ues.jpg,True,metadata_exact,input
4043,touch_ues,crops\AD458.avi\ues\event_053_touch_ues_frame_4043_ues.jpg,True,metadata_exact,input
4053,leave_ues,crops\AD458.avi\ues\event_033_leave_ues_frame_4053_ues.jpg,True,metadata_exact,input
4252,before_onset,crops\AD458.avi\ues\event_014_before_onset_frame_4252_ues.jpg,True,metadata_exact,input
4270,touch_ues,crops\AD458.avi\ues\event_054_touch_ues_frame_4270_ues.jpg,True,metadata_exact,input
4288,leave_ues,crops\AD458.avi\ues\event_034_leave_ues_frame_4288_ues.jpg,True,metadata_exact,input
4354,before_onset,crops\AD458.avi\ues\event_015_before_onset_frame_4354_ues.jpg,True,metadata_exact,input
4366,touch_ues,crops\AD458.avi\ues\event_055_touch_ues_frame_4366_ues.jpg,True,metadata_exact,input
4381,leave_ues,crops\AD458.avi\ues\event_035_leave_ues_frame_4381_ues.jpg,True,metadata_exact,input
4634,before_onset,crops\AD458.avi\ues\event_016_before_onset_frame_4634_ues.jpg,True,metadata_exact,input
4649,touch_ues,crops\AD458.avi\ues\event_056_touch_ues_frame_4649_ues.jpg,True,metadata_exact,input
4664,leave_ues,crops\AD458.avi\ues\event_036_leave_ues_frame_4664_ues.jpg,True,metadata_exact,input
4780,before_onset,crops\AD458.avi\ues\event_017_before_onset_frame_4780_ues.jpg,True,metadata_exact,input
